state,hour_utc,weekday,spread_bucket,n,best_pf,sl_mult,tp_mult,step_pips,lock_pips,max_hold_sec,n_trades,pf_h180,pf_h300,pf_h600,pf_h900,tr_h180,tr_h300,tr_h600,tr_h900,error
SQUEEZE,18,3,mid,300,1.5174625595489821,3.0,1.0,0.4,0.5,900,100,1.5174625595489821,1.5174625595489821,1.5174625595489821,1.5174625595489821,100,100,100,100,
SQUEEZE,7,4,low,850,1.5061519936744874,3.0,1.0,0.4,0.5,900,283,1.5061519936744874,1.5061519936744874,1.5061519936744874,1.5061519936744874,283,283,283,283,
SQUEEZE,20,4,mid,1202,1.5050717923807806,3.0,1.0,0.4,0.5,900,401,1.5050717923807806,1.5050717923807806,1.5050717923807806,1.5050717923807806,401,401,401,401,
TRENDBURST,22,6,xhigh,863,1.5031438531721353,3.0,1.0,0.4,0.5,900,288,1.5031438531721353,1.5031438531721353,1.5031438531721353,1.5031438531721353,288,288,288,288,
TRENDBURST,20,2,xhigh,378,1.4856537902124334,3.0,1.0,0.4,0.5,900,126,1.4856537902124334,1.4856537902124334,1.4856537902124334,1.4856537902124334,126,126,126,126,
BREAKOUT,4,2,mid,2429,1.4805530760952983,3.0,1.0,0.4,0.5,900,810,1.4805530760952983,1.4805530760952983,1.4805530760952983,1.4805530760952983,810,810,810,810,
TRENDBURST,16,1,mid,1296,1.4732782780331273,3.0,1.0,0.4,0.5,900,432,1.4732782780331273,1.4732782780331273,1.4732782780331273,1.4732782780331273,432,432,432,432,
TRENDBURST,18,3,high,2138,1.4721134397868745,3.0,1.0,0.4,0.5,900,713,1.4721134397868745,1.4721134397868745,1.4721134397868745,1.4721134397868745,713,713,713,713,
TRENDBURST,10,2,high,1790,1.4594100930306353,3.0,1.0,0.4,0.5,900,597,1.4594100930306353,1.4594100930306353,1.4594100930306353,1.4594100930306353,597,597,597,597,
TRENDBURST,2,0,high,2572,1.453748539876621,3.0,1.0,0.4,0.5,900,857,1.453748539876621,1.453748539876621,1.453748539876621,1.453748539876621,857,857,857,857,
BREAKOUT,2,3,xhigh,599,1.4532762324225317,3.0,1.0,0.4,0.5,900,200,1.4532762324225317,1.4532762324225317,1.4532762324225317,1.4532762324225317,200,200,200,200,
DEAD,22,3,low,1206,1.4415622132077828,3.0,1.0,0.4,0.5,900,402,1.4415622132077828,1.4415622132077828,1.4415622132077828,1.4415622132077828,402,402,402,402,
BREAKOUT,18,3,xhigh,248,1.4383201228527007,3.0,1.0,0.4,0.5,900,83,1.4383201228527007,1.4383201228527007,1.4383201228527007,1.4383201228527007,83,83,83,83,
TRENDBURST,13,4,high,1780,1.4341322796656268,3.0,1.0,0.4,0.5,900,593,1.4341322796656268,1.4341322796656268,1.4341322796656268,1.4341322796656268,593,593,593,593,
BREAKOUT,5,1,xhigh,317,1.4332264937350179,3.0,1.0,0.4,0.5,900,106,1.4332264937350179,1.4332264937350179,1.4332264937350179,1.4332264937350179,106,106,106,106,
SQUEEZE,17,1,mid,189,1.4324687575404833,3.0,1.0,0.4,0.5,900,63,1.4324687575404833,1.4324687575404833,1.4324687575404833,1.4324687575404833,63,63,63,63,
TRENDBURST,2,2,xhigh,207,1.4313089218492345,3.0,1.0,0.4,0.5,900,69,1.4313089218492345,1.4313089218492345,1.4313089218492345,1.4313089218492345,69,69,69,69,
TRENDBURST,2,2,high,2562,1.4249907575276775,3.0,1.0,0.4,0.5,900,854,1.4249907575276775,1.4249907575276775,1.4249907575276775,1.4249907575276775,854,854,854,854,
SQUEEZE,2,4,high,313,1.4213260911330647,3.0,1.0,0.4,0.5,900,104,1.4213260911330647,1.4213260911330647,1.4213260911330647,1.4213260911330647,104,104,104,104,
NEUTRAL,6,1,xhigh,213,1.41646065041069,3.0,1.0,0.4,0.5,900,71,1.41646065041069,1.41646065041069,1.41646065041069,1.41646065041069,71,71,71,71,
SQUEEZE,1,0,mid,327,1.410018850193579,3.0,1.0,0.4,0.5,900,109,1.410018850193579,1.410018850193579,1.410018850193579,1.410018850193579,109,109,109,109,
TRENDBURST,2,0,mid,1117,1.4067038578051911,3.0,1.0,0.4,0.5,900,372,1.4067038578051911,1.4067038578051911,1.4067038578051911,1.4067038578051911,372,372,372,372,
